Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000308432013766069,0.000824745609093291,-0.348795097773964,0,0,0,98.2206347258375,8.02628327825717,0.00024350529649604,2.67248679783338E-13,8.04861649065601,-1.25831921649467E-12,14.6198876609904,0,0,0,0,0,0,package://volcanibot_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://volcanibot_description/meshes/base_link.STL,,volcanibot_body-2,Base_coordinatesystem,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_BR,-0.002464,7.7174E-12,-1.0734E-12,0,0,0,19.568,0.76858,-1.5351E-12,4.2467E-13,0.41546,-7.8249E-13,0.41546,0,0,0,0,0,0,package://volcanibot_description/meshes/link_BR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcanibot_description/meshes/link_BR.STL,,volcanibot_wheel-1,BR_coordinatesystem,BR_axis,joint_BR,continuous,0.9705,-0.5,-0.66,0,0,0,base_link,1,0,0,,,,,,,,,,,,
link_BL,0.002464,-4.863E-12,6.0718E-12,0,0,0,19.568,0.76858,-1.1522E-12,1.0999E-12,0.41546,-2.2866E-13,0.41546,0,0,0,0,0,0,package://volcanibot_description/meshes/link_BL.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcanibot_description/meshes/link_BL.STL,,volcanibot_wheel-4,BL_coordinatesystem,BL_axis,joint_BL,continuous,-0.9705,-0.5,-0.66,0,0,0,base_link,1,0,0,,,,,,,,,,,,
link_FL,0.002464,3.0038E-12,7.1789E-12,0,0,0,19.568,0.76858,4.1738E-13,1.5377E-12,0.41546,-5.1651E-13,0.41546,0,0,0,0,0,0,package://volcanibot_description/meshes/link_FL.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcanibot_description/meshes/link_FL.STL,,volcanibot_wheel-3,FL_coordinatesystem,FL_axis,joint_FL,continuous,-0.9705,0.5,-0.66,0,0,0,base_link,1,0,0,,,,,,,,,,,,
link_FR,-0.002464,7.518E-12,2.0106E-12,0,0,0,19.568,0.76858,-1.5806E-12,-2.0336E-13,0.41546,-6.6262E-13,0.41546,0,0,0,0,0,0,package://volcanibot_description/meshes/link_FR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcanibot_description/meshes/link_FR.STL,,volcanibot_wheel-2,FR_coordinatesystem,FR_axis,joint_FR,continuous,0.9705,0.5,-0.66,0,0,0,base_link,1,0,0,,,,,,,,,,,,
